# name,type,x,y,science,danger,influence
# type: 0=STAR,1=PULSAR,2=BLACK_HOLE,3=NEBULA,4=GALAXY,5=LAB
# Put this on SD as /janus/cosmos/known.csv. ADV_Elite reads it once a minute.
SOL,0,132,96,70,1,900
SIRIUS,0,126,87,74,1,830
VEGA,0,58,45,78,1,760
BETELGEUSE,0,34,69,70,3,700
RIGEL,0,28,101,72,3,690
POLARIS,0,72,18,80,1,640
CRAB-PSR,1,88,74,95,5,980
VELA-PSR,1,154,188,93,6,960
SGR-A,2,202,130,100,9,1200
GARGANTUA,5,214,119,100,8,1300
CYGNUS-X1,2,70,52,96,8,1040
M31,4,12,24,90,4,860
ORION-NEB,3,38,112,88,2,780
LMC,4,184,224,82,4,820
SMC,4,198,232,82,4,810
J0437-4715,1,176,210,96,5,940
M87,2,224,44,100,9,1100
WOLF359,0,124,92,68,2,620
